file,status,layer,risk,lines,responsibility,key_exports,edit_when,caution
App.css,UNUSED,LEGACY / UNUSED,LOW,42,CSS starter Vite lama; tidak di-import oleh runtime final.,—,Biasanya jangan disentuh; bisa dibersihkan hanya pada fase cleanup non-behavior terpisah.,Tidak aktif pada runtime saat ini.
App.jsx,ACTIVE,ROOT ORCHESTRATOR,HIGH,1199,"Root wiring aplikasi. Memiliki MainApp dan App; menghubungkan hooks, domain, services, renderer, effect, theme, dan dependency injection. Setelah modularisasi, business logic besar seharusnya tidak ditambahkan kembali di sini.",App,"Hanya bila perubahan membutuhkan wiring state lintas-domain, menambah effect root, atau menyambungkan module baru.",Jangan taruh logic fitur besar di sini. Pertahankan sebagai state/hook ownership + delegate/wiring.
_backup_app_v5116.jsx,QUARANTINED,QUARANTINED LEGACY,CRITICAL,5751,"Backup monolith v5.11.6 lama, disimpan sebagai referensi historis/parity.",App,Jangan dipakai untuk pengembangan baru. Hanya referensi audit bila sangat diperlukan.,Tidak reachable dari main.jsx; jangan diaktifkan.
assets/logo.svg,UNUSED,LEGACY ASSET,LOW,23,Asset logo starter yang tidak dipakai runtime final.,—,Hanya bila sengaja akan dipakai UI baru.,Saat ini tidak direferensikan.
assets/react.svg,UNUSED,LEGACY ASSET,LOW,1,Asset React starter yang tidak dipakai runtime final.,—,Biasanya tidak perlu disentuh.,Saat ini tidak direferensikan.
components/common/GroupedVoiceSelect.jsx,ACTIVE,UI COMMON,LOW,38,Select voice reusable yang mengelompokkan voice berdasarkan region/context.,GroupedVoiceSelect,Mengubah tampilan dropdown voice Browser/Edge secara umum.,Logic pengelompokan voice berasal dari audioUtils; jangan ubah priority voice di sini.
components/common/HighlightedText.jsx,ACTIVE,UI COMMON,LOW,22,Render teks dengan highlight pencarian.,HighlightedText,Mengubah visual highlight search/text.,Pure presentation.
components/controls/ControlSectionTabs.jsx,QUARANTINED,QUARANTINED UI,MEDIUM,36,Versi lama tab Player/Learn/Data/System.,ControlSectionTabs,Jangan dipakai; versi aktif dirender lewat MainAppAuxiliaryViews.,Tidak reachable; jangan diaktifkan.
components/controls/DesktopDataActions.jsx,ACTIVE,UI DATA,MEDIUM,35,"Tombol Import CSV, Add Manual, Export Copy, Clear View, dirty status, Review Changes, Undo, Save Updated CSV/Merged.",DesktopDataActions,Mengubah tombol/label/layout aksi Data desktop.,Perilaku import/save tetap di services/persistence dan dataset domain.
components/controls/DesktopDataWorkspace.jsx,ACTIVE,UI DATA,MEDIUM,50,"Workspace Data desktop: editor Text lock/unlock + Add Tab, Source Manager MAIN/SENTENCE/EXP1–EXP5, status source/dirty, save/export source.",DesktopDataWorkspace,"Mengubah UI source manager, editor Text, atau panel status data desktop.",Jangan pindahkan high-water/source baseline logic ke komponen.
